name,Rating,votes,location,cuisines,approx_cost(for two people)
Waffle Head,4.0,48,Btm,"Desserts, Beverages",300
Gogula's Sweets & Chats,4.0,221,Btm,"Mithai, Street Food, Fast Food",200
Kanti Sweets,4.2,115,Btm,"Mithai, Street Food",400
Laddoos,3.4,280,Btm,"Street Food, Mithai",200
Sreeraj Lassi Bar,4.0,87,Btm,Beverages,200
Keventers,3.8,26,Btm,"Beverages, Desserts, Ice Cream",400
Shri Ram Sweet Centre,4.0,164,Btm,"Street Food, Mithai",150
Waffle Stories,4.0,71,Btm,"Desserts, Beverages",300
Warm Oven,3.9,38,Btm,"Bakery, Desserts",500
CakeZone,4.1,342,Btm,"Bakery, Desserts",500
Rock Stone Ice Cream Factory,4.0,138,Btm,Ice Cream,250
Shagun Sweets & Foods,3.6,223,Btm,"Mithai, North Indian, Street Food, Chinese",400
Thanco's Natural Ice Cream,3.8,32,Btm,"Ice Cream, Desserts",450
Hang10 Resto N Cafe,3.8,102,Btm,"North Indian, Chinese, Beverages",800
Just Bake,3.3,77,Btm,Bakery,400
Sweet Truth,4.0,30,Btm,"Bakery, Desserts",500
Bun Town,4.0,207,Btm,"Cafe, Bakery",500
New Surya Sweets & Snacks,3.5,7,Btm,"Mithai, Fast Food",300
Sri Devi Baker's,3.9,41,Btm,"Bakery, Street Food",200
KC Das - The Delite Foods,3.3,29,Btm,"Mithai, Street Food",200
Jodhpur Sweets & Corner,3.7,22,Btm,"Desserts, Street Food, Mithai",200
More Than Chocolates,3.6,83,Btm,Bakery,200
Svadu Sweets & Savouries,3.7,26,Btm,"Street Food, Mithai",200
Freeze It,3.6,6,Btm,Desserts,300
BTM Cakes,3.3,9,Btm,"Bakery, Desserts",400
Bangali Babu Restaurant,3.2,4,Btm,"Mithai, Desserts, Fast Food",250
Kulfi & More,3.7,47,Btm,Ice Cream,100
Candy Cake,3.4,7,Btm,Bakery,500
Jigarthanda,3.6,13,Btm,"Fast Food, Desserts, Rolls",200
Chilld Monk,3.5,10,Btm,"Desserts, Ice Cream",250
Fritz Haber,3.3,5,South Bangalore,"Ice Cream, Desserts",400
Gelato Pazzo,3.8,47,Btm,Desserts,200
Calvin's,3.7,106,Btm,Desserts,600
The French Loaf,3.1,32,Btm,"Bakery, Desserts, Sandwich",400
New Surya Sweets & Snacks,3.2,5,Btm,"Mithai, Street Food",350
Whisk' N Creme',3.5,12,Btm,Bakery,300
Gelato Italiano,3.7,32,Btm,"Ice Cream, Bakery, Desserts",200
Juice Shop,3.6,29,Btm,"Juices, Beverages, Ice Cream",150
Tangerine - Davanam Sarovar Portico Suites,4.0,157,Koramangala 2Nd Block,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",1100
Kurtoskalacs,4.6,342,Koramangala 5Th Block,"Desserts, Fast Food",400
Bonsouth,4.2,2626,Koramangala 5Th Block,"Chettinad, Andhra, Kerala",1300
Sixth Avenue Cafe And Patisserie,4.5,210,Koramangala 5Th Block,"Cafe, Italian, Desserts",600
Two Friends Cauldron,4.1,496,Jp Nagar,"Continental, Italian, American",700
Stoner,4.5,2668,Koramangala 5Th Block,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500
Roundup Cafe,4.2,589,Koramangala 5Th Block,"Cafe, Continental, Beverages",800
Lot Like Crepes,4.6,1028,Koramangala 7Th Block,"Desserts, Continental",550
Corner House Ice Cream,4.5,847,Jayanagar,"Ice Cream, Desserts",400
Krem,4.1,62,Koramangala 5Th Block,"Desserts, Ice Cream, Beverages, Sandwich",450
Cakewala,4.3,673,Jayanagar,"Bakery, Desserts",500
Slate Cafe,4.1,71,Jp Nagar,"Cafe, Sandwich, Burger",600
99 Pancakes,4.5,360,Koramangala 5Th Block,"Desserts, Beverages, Cafe, Ice Cream",300
Art of Delight,4.3,464,Koramangala 5Th Block,"Ice Cream, Desserts, Beverages",400
Fresh Pressery Cafe,4.1,147,Koramangala 5Th Block,"Cafe, Healthy Food, Salad, Beverages, Desserts",1200
Berry'd Alive,4.3,1904,Koramangala 5Th Block,Desserts,400
Smally's Resto Cafe,4.2,1722,Koramangala 5Th Block,"Cafe, Italian, Burger, American, Steak",650
Cream Chemistry,3.9,234,Koramangala 5Th Block,"Ice Cream, Desserts",500
Smoor,4.2,605,Koramangala 7Th Block,"Desserts, Beverages",900
The Belgian Waffle Co.,4.2,184,Koramangala 5Th Block,"Desserts, Beverages",350
Crafted Plate,4.2,249,Jp Nagar,"Cafe, Asian, Burger, Continental, Italian, Salad",600
BelgYum,4.1,70,Koramangala 7Th Block,Desserts,400
Belgian Waffle Factory,4.9,201,Koramangala 5Th Block,Desserts,400
Polar Bear,4.2,220,Jp Nagar,"Desserts, Ice Cream, Beverages, Sandwich",400
Frozen Bottle,4.1,244,Koramangala 5Th Block,"Beverages, Desserts, Ice Cream",400
The Marash,4.3,70,Koramangala 5Th Block,"Turkish, Desserts",250
Krispy Kreme,4.2,449,Koramangala 7Th Block,"Desserts, Beverages",300
Banchharam,3.9,144,Koramangala 7Th Block,"Street Food, Mithai",200
Mad Over Donuts,4.2,712,Koramangala 7Th Block,"Bakery, Desserts, Beverages",450
Cream Stone,4.2,346,Koramangala 5Th Block,"Desserts, Ice Cream, Beverages",500
Baskin Robbins,4.1,77,Koramangala 7Th Block,"Ice Cream, Desserts",300
The Waffles Hut,3.8,24,Koramangala 5Th Block,"Desserts, Beverages",400
Sweet Chariot,4.0,189,Koramangala 7Th Block,"Bakery, Fast Food",500
Lassi Shop,4.1,216,Koramangala 5Th Block,"Beverages, Ice Cream",200
Stoned Monkey,3.9,242,Jp Nagar,"Desserts, Ice Cream",500
Cakebuy,3.9,72,Bannerghatta Road,Desserts,350
WAFL Co,4.2,53,Koramangala 5Th Block,"Desserts, Beverages",400
World of Waffles,3.9,191,Jp Nagar,Desserts,400
WAFL,4.0,42,Bannerghatta Road,"Desserts, Beverages, American",400
Kwality Cakes N Bakes,3.7,94,Hsr,"Bakery, Desserts",400
Haagen Dazs,3.9,82,Koramangala 7Th Block,"Ice Cream, Desserts",800
Frolic,4.2,37,Koramangala 7Th Block,"Juices, Ice Cream",200
Maxpresso,4.1,324,Koramangala 7Th Block,"Cafe, American, Italian, Beverages",700
Haji Ali Juice Centre,4.0,153,Koramangala 5Th Block,"Beverages, Fast Food, Desserts",350
The Chocolate Room,3.9,155,Jp Nagar,"Cafe, Desserts",400
Smooth,3.7,24,Bannerghatta Road,"Desserts, Ice Cream",500
Flavorsome Bakes,4.0,94,Bannerghatta Road,"Bakery, Desserts",800
Brownie Heaven,4.0,25,Koramangala 5Th Block,Desserts,300
Iyengar's Bakery,3.5,11,Koramangala 6Th Block,"Bakery, Fast Food",200
Cafe Arabica,3.8,69,Bannerghatta Road,"Cafe, Bakery, Arabian, Fast Food",700
Sri Annapoorna Bajji Center,3.9,15,Jayanagar,"Mithai, Street Food",100
Brownie Points,3.8,26,Koramangala 4Th Block,"Bakery, Desserts",300
Lassi Corner,3.5,16,Koramangala 5Th Block,"Beverages, Desserts",150
Bunny Bakers,3.6,31,Jayanagar,"Bakery, Fast Food",250
Cold Stone Creamery,3.9,107,Bannerghatta Road,"Ice Cream, Desserts",400
Tummy Fuel,4.1,450,Jayanagar,"Cafe, Beverages, Fast Food, Street Food",400
Food Theory,2.5,58,Hsr,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500
Karachi Bakery,3.4,8,Koramangala 5Th Block,"Bakery, Fast Food, Desserts",400
Daily Bread,3.2,64,Jp Nagar,"Bakery, Fast Food, Italian",600
Dhaba Express,3.7,176,Hsr,"Biryani, Fast Food, North Indian, Chinese",400
INDULGE by InnerChef,3.5,29,Koramangala 7Th Block,"Desserts, Bakery",400
Venkateshwara Sweets and Restaurant,3.6,43,Jp Nagar,"South Indian, Mithai, Chinese, North Indian",400
Uday Sweets,3.8,34,Koramangala 5Th Block,"Mithai, Fast Food",250
Multi Cakes,3.7,45,Jp Nagar,"Bakery, Desserts",200
Gruhalakshmi Home Foods,3.3,5,Bommanahalli,Mithai,250
Bake Addiction,4.1,95,Jp Nagar,"Bakery, Desserts",500
Bake The Cake,3.2,4,Bommanahalli,"Bakery, Fast Food, Beverages",250
Me And My Cake,3.2,4,Bommanahalli,"Bakery, Desserts",500
Arafa Juice Center,3.5,10,Koramangala 5Th Block,"Juices, Desserts, Fast Food",250
Shree Mithai,3.3,10,Koramangala 7Th Block,"Desserts, Street Food, Mithai",150
Meraki Patisserie,3.3,6,Jayanagar,"Bakery, Desserts",350
Mother Nature Kulfi,3.6,10,Jayanagar,"Desserts, Ice Cream",200
Squeez Juice Bars,3.3,10,Bannerghatta Road,"Ice Cream, Juices",250
Cafe Coffee Day,3.5,7,Jayanagar,"Cafe, Fast Food",900
Cream N Desserts,3.7,49,Koramangala 7Th Block,"Desserts, Beverages",400
Cake Yard,2.9,30,Koramangala 7Th Block,Desserts,250
Sangam Sweets,3.8,75,Koramangala 3Rd Block,"Mithai, Street Food",200
Antilla Aromas,3.7,22,Bannerghatta Road,"Desserts, Ice Cream",300
Bathinda Junction,3.9,363,Btm,North Indian,600
A2B - Adyar Ananda Bhavan,3.8,685,Btm,"South Indian, North Indian, Chinese, Street Food, Fast Food",400
Birinz,4.1,295,Btm,"Biryani, Chinese, Mughlai, Fast Food, Kebab",700
Momoz,4.0,943,Btm,"Chinese, Momos",600
New Gongura's,3.7,44,Btm,"Andhra, Biryani, North Indian, Chinese",550
Brother?s Bar & Kitchen,3.4,5,Btm,"Chinese, North Indian",1000
Zam Zam Darbar,2.9,84,Btm,"North Indian, Biryani, Chinese",500
Mayur,3.6,18,Btm,"Andhra, North Indian, Chinese",500
Golden Grill Restaurant,3.5,18,Btm,"Arabian, Chinese, North Indian, Kerala, Seafood",550
Zanzibar - Davanam Sarovar Portico Suites,3.5,39,Btm,Finger Food,1200
Cafe Coffee Day,3.3,15,Btm,"Cafe, Fast Food",900
Seekers Cafe,3.6,25,Btm,"Italian, Continental",500
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,3.7,41,Btm,"Biryani, North Indian",450
Ma-Arya Family Restaurant,3.1,8,Btm,"Biryani, South Indian, North Indian, Chinese, Andhra",600
Sri Durga Cane Fresh,3.4,5,Btm,"Juices, Beverages, Fast Food",100
Benzys,3.2,6,Btm,"Arabian, Chinese, Hyderabadi, Kerala",700
Nanna Munna,3.4,8,Btm,"North Indian, Chinese",200
Bamboo Heights,3.7,112,Btm,"Chinese, Fast Food, Continental",500
Chai Point,4.0,113,Btm,"Tea, Beverages, Fast Food",250
Pizza Hut,3.3,19,Btm,"Pizza, Fast Food",750
Kannur Food Point,4.0,137,Btm,"Kerala, North Indian",200
Ambur Star Briyani,3.5,383,Btm,"Biryani, Kebab",400
KFC,3.9,348,Btm,"Burger, Fast Food",400
Domino's Pizza,4.1,521,Btm,"Pizza, Fast Food",400
Faasos,3.9,441,Btm,"North Indian, Biryani, Fast Food",500
New Limra Hotel,3.4,5,Btm,"South Indian, Biryani, Fast Food",200
Shri Ram Sweet Centre,4.0,160,Btm,"Street Food, Mithai",150
Bangalore Star Biriyani,3.4,7,Btm,"Biryani, Chinese, North Indian",300
Kabab Magic,3.9,879,Btm,"North Indian, Kebab, Fast Food",500
Just Shawarma,3.9,201,Btm,Arabian,300
Chaatimes,3.4,46,Btm,"Street Food, Fast Food",200
Zeeshan,2.8,178,Btm,"North Indian, Mughlai, Biryani, Rolls",700
Kesar Sweet Shop and Fast Food,4.0,213,Btm,"North Indian, South Indian, Chinese, Street Food, Mithai",500
New Kabab Zone,3.5,39,Btm,"North Indian, Fast Food",500
McDonald's,3.6,59,Btm,"Burger, Fast Food",500
Udupi Gokul Cafe,3.8,58,Btm,South Indian,300
Namma Kadai,3.4,4,Btm,South Indian,150
Nellore Dosa Camp,3.3,5,Btm,"Andhra, South Indian",70
Sri Saravana Bhavan,3.7,35,Btm,South Indian,200
Gangothri Kabab Corner,3.1,18,Btm,North Indian,400
Thalassery Cafe,3.4,7,Btm,Street Food,150
Cafe 58,3.4,4,Btm,"Fast Food, Biryani",200
Five Star Chicken,3.5,24,Btm,Fast Food,350
Mangalore Lunch Home,3.6,42,Btm,"North Indian, South Indian, Mangalorean",250
Jigarthanda,3.6,11,Btm,"Fast Food, Desserts, Rolls",200
Meat And Eat,3.1,15,Btm,"Fast Food, Burger",500
Sri Vishnupriya,3.0,67,Btm,"South Indian, North Indian, Chinese",300
Aarya Pork Hotel,3.3,11,Btm,"South Indian, Biryani, Chinese",300
Sri Krishna Sagar,3.6,11,Btm,"South Indian, North Indian, Chinese",200
Pout,4.0,40,Btm,Beverages,400
Hotel Meed Cafe,3.2,5,Btm,"North Indian, South Indian",250
Karavali Lunch Home,3.3,4,Btm,Kerala,200
Sri Udupi Sagar,3.5,12,Btm,South Indian,200
Hot Burg,3.5,14,Btm,"Fast Food, Juices",300
Ande Ka Funda,2.8,60,Btm,"North Indian, Fast Food, Rolls",250
Desi Adda,3.3,22,Btm,"North Indian, Chinese",300
Basawa Hotel,3.4,8,Btm,South Indian,250
Friend's Kitchen,3.5,10,Btm,"South Indian, Chinese",150
South Side,3.3,6,Btm,"South Indian, Beverages",250
Barkat,3.4,5,Btm,Kerala,250
C K Bake & Juice,3.1,10,Btm,"Juices, Street Food",150
Hotel Mirchi Red,3.0,32,Btm,"North Indian, Chinese",400
SGS Non Veg - Gundu Pulav,3.6,41,Btm,"Biryani, Fast Food",400
Gallop Bar - Davanam Sarovar Portico Suites,3.5,8,Koramangala 2Nd Block,Finger Food,1600
Bombay Adda,4.5,2225,Koramangala 7Th Block,Modern Indian,1100
The Reservoire,4.5,2540,Koramangala 5Th Block,"Continental, North Indian, Chinese, American, Pizza, Finger Food",1300
Indigo XP,4.3,2349,Koramangala 5Th Block,"Finger Food, Continental, Asian, North Indian",1400
Fenny's Lounge And Kitchen,4.5,6348,Koramangala 7Th Block,"Mediterranean, Pizza, Continental, Seafood, Salad",1600
Sharief Bhai,4.3,1520,Koramangala 5Th Block,"Mughlai, Biryani",700
ECHOES Koramangala,4.7,3197,Koramangala 5Th Block,"Chinese, American, Continental, Italian, North Indian",750
Chianti,4.7,4845,Koramangala 5Th Block,Italian,1500
Hunger Camp,4.6,319,Jp Nagar,"North Indian, South Indian, Chinese, Seafood",1300
Drava,4.4,110,Koramangala 5Th Block,"Pizza, Continental, North Indian, Asian",1500
The Terrace at Gilly's Redefined,4.6,866,Koramangala 4Th Block,"Continental, Finger Food, Asian, North Indian",1400
The Boozy Griffin,4.6,4947,Koramangala 5Th Block,"European, Continental",1800
Simon Says Brew Works,4.5,1932,Koramangala 5Th Block,"Continental, American, Italian, Modern Indian, Pizza, Burger",1400
Three Dots & A Dash,4.3,1201,Jp Nagar,"European, Continental",1500
Myu Bar at Gilly's Redefined,4.4,1213,Koramangala 4Th Block,"American, North Indian, Pizza, Finger Food, Continental, Italian",1200
55 Wall Street,3.9,1771,Jp Nagar,"Finger Food, North Indian, Chinese",1300
Kobe Sizzlers,4.1,1786,Koramangala 5Th Block,"American, Continental, Fast Food, Steak",1000
Public - The Rooftop Bar And Kitchen,4.3,956,Bannerghatta Road,"North Indian, South Indian, Andhra, Chinese",1000
Al-Bek,3.9,682,Jayanagar,"North Indian, Mughlai, Chinese, Seafood",650
Shanmukha,4.4,1944,Jayanagar,"Biryani, Andhra, North Indian, Chinese",800
Chinita Real Mexican Food,4.5,729,Koramangala 5Th Block,Mexican,1200
Karama Restaurant,4.1,1555,Koramangala 5Th Block,"Arabian, North Indian, Beverages",750
Sathya's,4.1,759,Koramangala 3Rd Block,"North Indian, Chinese",1200
Rajdhani Thali Restaurant,4.0,792,Koramangala 7Th Block,North Indian,900
Chung Wah,4.0,313,Koramangala 5Th Block,"Chinese, Thai, Momos, Vietnamese",800
Mani's Dum Biryani,3.9,778,Koramangala 5Th Block,"Biryani, Kebab",750
Tilt Gastro Lounge,4.1,1235,Koramangala 5Th Block,"Continental, American, North Indian, Chinese",1500
52 Wall Street,3.9,737,Koramangala 6Th Block,"American, Continental, Finger Food",1400
Bulls N Bears - Bar Trade Xchange,3.9,144,Koramangala 5Th Block,"Finger Food, North Indian, Continental, Pizza",1000
The Egg Factory,4.0,1308,Jp Nagar,"Continental, American",750
Sutra Spice-The Resto Bar,3.9,31,Koramangala 4Th Block,"South Indian, Andhra",1000
Smoke - The Sizzler House,4.0,1382,Koramangala 7Th Block,"Continental, Chinese, Thai, Italian, Bbq, Steak",1100
JukeBox,3.9,281,Koramangala 7Th Block,"Continental, Parsi, Chinese, North Indian, Italian, Steak",1000
Sherlock's Pub,3.9,579,Koramangala 5Th Block,"Continental, North Indian, Chinese",1300
Parkview,4.0,130,Jp Nagar,"South Indian, North Indian, Chinese",300
Starbucks,4.2,386,Jp Nagar,"Cafe, Desserts",700
Lounge 189,3.8,157,Hsr,"Continental, Italian",1300
Axomi - Taste of Assam,4.0,610,Koramangala 7Th Block,Assamese,500
Mavalli Tiffin Room (MTR),4.1,873,Jp Nagar,South Indian,300
Uttar Karnataka Meals Restaurant,3.7,26,Jayanagar,South Indian,200
Leon Grill,4.3,165,Koramangala 5Th Block,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500
Madeena Hotel,3.9,51,Bannerghatta Road,"North Indian, Mughlai, Biryani",400
IDC Kitchen,4.2,51,Koramangala 5Th Block,South Indian,200
The Underground Gastropub,3.0,37,Koramangala 5Th Block,Finger Food,1000
New Prashanth Hotel,3.1,53,Hsr,"South Indian, Biryani, Chinese, North Indian",750
Burger King,3.9,1043,Koramangala 7Th Block,"Burger, Fast Food, Beverages",600
Fandom at Gilly's Redefined,3.8,103,Koramangala 4Th Block,Finger Food,1500
Atta Galata,4.1,208,Koramangala 5Th Block,"Bakery, Fast Food",200
Drunken Monkey,3.7,125,Jp Nagar,"Beverages, Fast Food",400
Swathi Restaurant,3.8,49,Jp Nagar,Mangalorean,400
Banchharam,3.9,139,Koramangala 7Th Block,"Street Food, Mithai",200
Taco Bell,4.0,911,Bannerghatta Road,"Mexican, American, Fast Food",600
Mizo Kitchen,3.8,27,Koramangala 5Th Block,"North Eastern, Chinese",400
Barcode,3.8,169,Koramangala 4Th Block,"South Indian, North Indian",1300
Udupi Upahar,3.6,16,Koramangala 7Th Block,"South Indian, North Indian, Chinese",300
Amaravathi Bar & Restaurant,3.7,43,Jayanagar,"North Indian, Chinese, Seafood",400
Chetty's Corner,3.8,34,Koramangala 5Th Block,"Fast Food, Burger",200
Taruni Andhra Mess,3.6,23,Koramangala 5Th Block,Andhra,200
Flavor of Tibet,4.0,57,Koramangala 5Th Block,Tibetan,400
New Ambur Biryani,3.2,6,Koramangala 7Th Block,Biryani,150
Nammura Upahara,3.8,40,Jp Nagar,South Indian,100
Donne Biriyani House,3.5,406,Jayanagar,"Biryani, Andhra, Kebab",400
Polar Bear,3.8,46,Jayanagar,"Ice Cream, Desserts, Beverages, Sandwich",400
Raghavendra Upahara,3.7,20,Jayanagar,South Indian,200
Selfie Cafe,3.7,19,Koramangala 7Th Block,"Beverages, Fast Food, Desserts",300
The Golden Spoon Restaurant Meat & Wine,3.5,14,Koramangala 7Th Block,"Chinese, North Indian",1000
Amrit,3.4,24,Jp Nagar,"North Indian, Seafood",600
Shiv Sagar,3.9,152,Koramangala 7Th Block,"Chinese, North Indian, Fast Food, Street Food",500
Mak n Vak - Fyn,3.9,344,Hsr,"North Indian, Chinese",500
Chung Wah Opus,3.0,59,Jp Nagar,"Chinese, Thai",650
Aroma Fine Dine,4.0,128,Hsr,"North Indian, Mughlai, Chinese, South Indian",900
The Hidden Cafe,3.9,96,Koramangala 1St Block,"North Indian, Fast Food",350
Mom's Momos,3.6,25,Bannerghatta Road,Chinese,100
Shuddh Desi Khana,4.1,609,Bannerghatta Road,North Indian,400
Tasty Bites,3.8,1,Jp Nagar,North Indian,450
A Bar,3.3,19,Hsr,"North Indian, Continental",600
Tibbs Frankie,3.5,70,Koramangala 7Th Block,"Street Food, Rolls",200
Coconadu,3.7,36,Koramangala 7Th Block,"Kerala, Konkan",400
SLV Restaurant,4.2,377,Jp Nagar,"South Indian, North Indian, Chinese",300
Udupi Grand,2.8,64,Koramangala 7Th Block,"South Indian, North Indian, Chinese",300
CHAAI BEE,3.5,8,Koramangala 7Th Block,"Beverages, Fast Food, Street Food",250
Cool Lassi Burger,3.1,7,Koramangala 5Th Block,"Beverages, Fast Food, Burger",200
Malnad Military Hotel,3.8,40,Koramangala 7Th Block,"South Indian, Chinese",500
Sri Vinayaka Andhra Mess,3.3,4,Koramangala 5Th Block,Andhra,300
Bakimo,3.5,7,Koramangala 5Th Block,Continental,850
Daily Bread,2.8,53,Koramangala 4Th Block,"Bakery, Fast Food, Italian",600
Desi Dhaba,3.7,34,Koramangala 7Th Block,"North Indian, Chinese, Rolls",300
Sri Krishna Sagar,3.5,12,Koramangala 7Th Block,South Indian,300
Malabar Coastal Cuisine,3.6,68,Koramangala 7Th Block,Kerala,550
Chai Chowk,3.8,82,Koramangala 7Th Block,"Chinese, Fast Food",200
Hotel Paradise,3.3,5,Jayanagar,Fast Food,200
Waikiki,3.2,5,Jp Nagar,"Fast Food, Beverages",200
H3O,3.3,4,Koramangala 4Th Block,"North Indian, Chinese",1000
Ambur Biryani Hotel,3.2,13,Koramangala 1St Block,Biryani,200
Shree Nandini Andhra Mess,3.3,5,Koramangala 5Th Block,Andhra,150
Juice Buzz,3.1,10,Jp Nagar,Juices,200
Falafel's - The Lebanese Haus,2.9,53,Koramangala 7Th Block,Lebanese,300
Dadaba's,3.3,6,Jayanagar,Fast Food,300
Cafe Bollywood,3.4,25,Jp Nagar,Street Food,200
Cool Point,3.2,7,Koramangala 5Th Block,"Juices, Fast Food",100
Fahad Hotel,3.3,4,Jayanagar,Fast Food,200
Combo King Paramount,3.1,12,Jayanagar,"Chinese, Kerala",500
Krupa Sagar,3.2,4,Koramangala 5Th Block,"North Indian, South Indian, Chinese, Street Food",300
Egg House,2.9,14,Koramangala 5Th Block,"Continental, Italian, Fast Food",400
Dry Dock Cafe,3.6,10,Koramangala 5Th Block,"Street Food, Tea",200
Rolls On Wheel,3.0,18,Koramangala 5Th Block,"Fast Food, Rolls",300
Chowk Tea Stall,3.4,8,Koramangala 7Th Block,"Street Food, Tea",100
Jayanthi Sagar,3.1,21,Koramangala 5Th Block,"South Indian, North Indian, Chinese",200
Biryani Point,3.2,7,Bommanahalli,Biryani,250
Kakal-Kai Ruchi,3.8,89,Jp Nagar,"Fast Food, North Indian, Chinese, South Indian",400
Sulaimani Chai,3.8,21,Koramangala 5Th Block,"Fast Food, Beverages",100
Khan Saheb Grills and Rolls,3.8,62,Hosur Road,"Fast Food, Rolls",350
Sri Ganesh Juice Corner,3.0,9,Koramangala 5Th Block,"Juices, Fast Food",150
"3B's - Buddies, Bar & Barbecues",4.4,1154,Btm,"North Indian, Mediterranean, European, Bbq",1100
Fenny's Lounge And Kitchen,4.5,6349,Koramangala 7Th Block,"Mediterranean, Pizza, Continental, Seafood, Salad",1600
BANGALORE BOX,4.1,625,Btm,"Asian, Continental, Finger Food",1500
The Black Pearl,4.7,10422,Koramangala 5Th Block,"North Indian, European, Mediterranean",1400
Gilly's Restobar,4.5,3903,Koramangala 5Th Block,"Finger Food, Continental, North Indian",1000
Bombay Adda,4.5,2233,Koramangala 7Th Block,Modern Indian,1100
Buff Buffet Buff,4.5,3130,Koramangala 5Th Block,"North Indian, Chinese, Continental, Thai, Salad",1500
Asia Kitchen By Mainland China,4.9,2184,Koramangala 5Th Block,"Asian, Chinese, Thai, Momos",1500
Punjab Bistro,4.4,454,Koramangala 7Th Block,North Indian,1500
The Boozy Griffin,4.6,4965,Koramangala 5Th Block,"European, Continental",1800
Three Dots & A Dash,4.3,1203,Jp Nagar,"European, Continental",1500
55 Wall Street,3.9,1774,Jp Nagar,"Finger Food, North Indian, Chinese",1300
Public - The Rooftop Bar And Kitchen,4.3,958,Bannerghatta Road,"North Indian, South Indian, Andhra, Chinese",1000
Crawl Street,4.3,2562,Koramangala 5Th Block,"Continental, Finger Food, North Indian, Chinese",1200
Nandhana Palace,4.1,771,Koramangala 4Th Block,"Andhra, Biryani, North Indian, Chinese",800
Bottle Breacher,4.2,1194,Jp Nagar,"Italian, Continental",1200
52 Wall Street,3.9,738,Koramangala 6Th Block,"American, Continental, Finger Food",1400
Watson's,4.0,1015,Jp Nagar,"Finger Food, Chinese, Continental",1300
Fandom at Gilly's Redefined,3.9,105,Koramangala 4Th Block,Finger Food,1500
Chutney Chang,4.2,4733,Church Street,"North Indian, Chinese, Bbq",1500
Oh! Calcutta,4.4,1112,Church Street,"Bengali, Seafood",1200
Mainland China,4.5,1401,Church Street,"Chinese, Momos",1700
Empire Restaurant,4.0,3213,Church Street,"North Indian, Mughlai, South Indian, Chinese",750
